Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
Feb 21-27,76,Fair,6h 47min,8h 33min,23:14,6:23
Feb 14-20,78,Fair,6h 57min,8h 11min,23:03,6:24
Feb 7-13,79,Fair,7h 20min,8h 30min,23:45,7:21
Jan 31 - Feb 6,75,Fair,6h 58min,8h 29min,23:15,6:36
Jan 24-30,78,Fair,7h 31min,8h 13min,22:55,6:55
Jan 17-23,77,Fair,7h 8min,8h 23min,23:22,6:56
Jan 10-16,78,Fair,7h 29min,8h 24min,22:51,6:45
Jan 3-9,71,Fair,6h 10min,8h 56min,23:16,5:47
Dec 27, 2024 - Jan 2, 2025,73,Fair,7h 43min,8h 46min,22:12,6:30
Dec 20-26, 2024,73,Fair,6h 38min,8h 43min,23:20,6:24
Dec 13-19, 2024,72,Fair,6h 49min,8h 29min,22:40,6:04
Dec 6-12, 2024,79,Fair,7h 9min,8h 17min,22:43,6:10
Nov 29 - Dec 5, 2024,74,Fair,7h 7min,8h 17min,22:27,5:55
Nov 22-28, 2024,82,Good,7h 38min,8h 6min,22:05,6:02
Nov 15-21, 2024,78,Fair,7h 4min,8h 12min,23:07,6:33
Nov 8-14, 2024,76,Fair,7h 46min,8h 23min,21:53,6:16
Nov 1-7, 2024,75,Fair,7h 22min,8h 16min,22:06,6:13
Oct 25-31, 2024,77,Fair,7h 13min,8h 19min,22:25,6:07
Oct 18-24, 2024,84,Good,7h 36min,8h 11min,22:36,6:32
Oct 11-17, 2024,81,Good,7h 28min,8h 19min,22:31,6:18
Oct 4-10, 2024,78,Fair,7h 44min,8h 24min,22:10,6:29
Sep 27 - Oct 3, 2024,77,Fair,7h 39min,8h 34min,22:07,6:31
Sep 20-26, 2024,79,Fair,8h 7min,8h 30min,22:08,6:44
Sep 13-19, 2024,79,Fair,8h 0min,8h 30min,22:05,6:32
Sep 6-12, 2024,77,Fair,7h 51min,8h 21min,22:26,6:42
Aug 30 - Sep 5, 2024,73,Fair,7h 21min,8h 54min,22:52,6:45
Aug 23-29, 2024,74,Fair,6h 34min,8h 48min,23:22,6:28
Aug 16-22, 2024,72,Fair,6h 47min,8h 54min,23:05,6:27
Aug 9-15, 2024,71,Fair,6h 36min,8h 40min,23:06,6:08
Aug 2-8, 2024,59,Poor,6h 31min,9h 0min,22:59,5:50
Jul 26 - Aug 1, 2024,52,Poor,6h 36min,9h 0min,22:07,5:36
Jul 19-25, 2024,53,Poor,6h 27min,8h 43min,22:05,5:44
Jul 12-18, 2024,69,Fair,7h 2min,8h 36min,21:59,5:48
Jul 5-11, 2024,81,Good,7h 15min,8h 27min,22:36,6:11
Jun 28 - Jul 4, 2024,76,Fair,7h 8min,8h 43min,22:37,6:07
Jun 21-27, 2024,70,Fair,5h 57min,8h 53min,0:03,6:15
Jun 14-20, 2024,73,Fair,6h 43min,8h 44min,22:48,5:50
Jun 7-13, 2024,76,Fair,7h 6min,8h 40min,22:28,6:03
May 31 - Jun 6, 2024,78,Fair,7h 13min,8h 29min,22:17,5:47
May 24-30, 2024,73,Fair,6h 51min,8h 40min,22:45,5:57
May 17-23, 2024,69,Fair,6h 25min,8h 47min,23:05,6:15
May 10-16, 2024,73,Fair,7h 20min,8h 31min,22:38,6:24
May 3-9, 2024,69,Fair,7h 37min,8h 41min,22:40,7:08
Apr 26 - May 2, 2024,75,Fair,7h 25min,8h 31min,23:01,7:07
Apr 19-25, 2024,73,Fair,7h 31min,8h 47min,22:57,7:09
Apr 12-18, 2024,77,Fair,7h 31min,8h 31min,23:19,7:17
Apr 5-11, 2024,75,Fair,7h 41min,--,22:38,6:39
Mar 29 - Apr 4, 2024,74,Fair,7h 25min,--,22:24,6:24
Mar 22-28, 2024,73,Fair,8h 0min,--,22:02,6:42
Mar 15-21, 2024,67,Fair,7h 2min,--,22:56,6:57
Mar 8-14, 2024,64,Fair,7h 45min,--,21:46,6:39
Mar 1-7, 2024,67,Fair,7h 1min,--,22:19,6:05